ajth 划算
baud 陈翔
bbnf 子层
bukh 陈翔路
bvrt 限播
bwwr 附件
cbnt 预发
date {date} {datetime|yyyy年MM月dd日} {datetime}
dcpe 码农
dmuj 面单
eris 甩手掌柜
fmud 南翔
gdqt 天猫
gsyf 末读
hkwx 点货
iaia 港汇
iixu 水弹
ijfc 混动
ipwk 沪宜公路
iyut 泳道
jnum 电商
junw 时间戳
lfii 墨水
lfyq 转义
lrdh 暂存
mail asinsimple@gmail.com
mqrp 风控
mtpn 账密
nhut 蛋疼
paym 宽高
pyxx 福缘
qahk 锚点
qtrt 独播
rjim 提测
rpbw 擦除
rqxd 换绑
rsip 打赏
rtrp 播控
rvdc 扫码
rwjg 失量
rysr 搓衣板
sair 树莓派
sgut 酸疼
time {time}
toff 翻墙
uhqh 站外
ujoj 音爆
uwwf 阀值
wcjf 公里
wtrm 傻缺
wwtd 众筹
xuaj 弹幕
xupw 弹窗
ygiw 语雀
yjsy 充电桩
zzem 常用Emoji 😂 🐶 👍 ❤️ 🙏
